Al,C,Co,Cr,Mn,Mo,N,Nb,Ni,Si,Ti,V,W,YieldStrength
0.03,0.01,14.8,0.01,0.01,6.02,0.0,0.01,15.0,0.01,0.62,0.01,0.0,1267.8
0.03,0.01,14.8,0.01,0.01,6.02,0.0,0.01,15.0,0.01,0.62,0.01,0.0,1018.3
0.03,0.1,0.01,17.0,3.0,0.02,0.0,0.01,4.2,0.3,0.0,0.01,0.0,1130.4
0.9,0.09,0.01,17.48,2.8,0.02,0.0,0.01,4.44,0.32,0.0,0.01,0.0,1259.7
0.9,0.09,0.01,17.48,2.8,0.02,0.0,0.01,4.44,0.32,0.0,0.01,0.0,1136.5
0.9,0.09,0.01,17.48,2.8,0.02,0.0,0.01,4.44,0.32,0.0,0.01,0.0,1313.6
0.03,0.09,0.01,16.92,2.16,1.04,0.0,0.01,4.26,0.18,0.0,0.01,0.0,1028.7
0.03,0.14,0.01,15.69,3.0,0.02,0.0,0.01,4.14,0.24,0.0,0.01,0.0,1201.2
0.03,0.14,0.01,15.69,3.0,0.02,0.0,0.01,4.14,0.24,0.0,0.01,0.0,1105.7
0.03,0.09,2.02,17.12,0.5,2.02,0.0,0.01,4.18,0.28,0.0,0.01,0.0,1150.4
0.03,0.09,2.02,17.12,0.5,2.02,0.0,0.01,4.18,0.28,0.0,0.01,0.0,1084.2
0.88,0.06,2.03,16.42,2.09,1.51,0.0,0.01,5.14,0.32,0.0,0.01,0.0,1241.2
0.88,0.06,2.03,16.42,2.09,1.51,0.0,0.01,5.14,0.32,0.0,0.01,0.0,1028.7
0.88,0.06,2.03,16.42,2.09,1.51,0.0,0.01,5.14,0.32,0.0,0.01,0.0,1284.4
0.88,0.06,2.03,16.42,2.09,1.51,0.0,0.01,5.14,0.32,0.0,0.01,0.0,1284.4
0.88,0.06,2.03,16.42,2.09,1.51,0.0,0.01,5.14,0.32,0.0,0.01,0.0,1349.0
0.88,0.06,2.03,16.42,2.09,1.51,0.0,0.01,5.14,0.32,0.0,0.01,0.0,1299.8
0.88,0.06,2.03,16.42,2.09,1.51,0.0,0.01,5.14,0.32,0.0,0.01,0.0,1327.5
0.88,0.06,2.03,16.42,2.09,1.51,0.0,0.01,5.14,0.32,0.0,0.01,0.0,1248.9
0.88,0.06,2.03,16.42,2.09,1.51,0.0,0.01,5.14,0.32,0.0,0.01,0.0,1068.8
0.03,0.09,0.01,17.5,1.0,2.75,0.1,0.01,4.2,0.5,0.0,0.01,0.0,1016.4
0.03,0.13,0.01,15.5,1.0,2.75,0.1,0.01,4.2,0.25,0.0,0.01,0.0,1247.4
0.03,0.13,0.01,15.5,1.0,2.75,0.1,0.01,4.2,0.25,0.0,0.01,0.0,1062.6
1.2,0.03,0.01,14.5,0.6,2.5,0.0,0.01,8.5,0.3,0.0,0.01,0.0,1478.4
1.2,0.07,0.01,15.0,0.6,2.25,0.0,0.01,7.0,0.3,0.0,0.01,0.0,1540.0
1.2,0.07,0.01,15.0,0.6,2.25,0.0,0.01,7.0,0.3,0.0,0.01,0.0,1386.0
1.2,0.07,0.01,17.0,0.6,0.02,0.0,0.01,7.0,0.3,0.0,0.01,0.0,1386.0
1.2,0.07,0.01,17.0,0.6,0.02,0.0,0.01,7.0,0.3,0.0,0.01,0.0,1339.8
0.03,0.0,0.01,5.15,0.06,3.2,0.0,0.01,10.2,0.05,0.09,0.01,0.0,1019.0
0.25,0.01,0.01,4.72,0.06,3.13,0.0,0.01,10.1,0.08,0.23,0.01,0.0,1172.0
0.52,0.02,0.01,4.83,0.07,3.2,0.0,0.01,10.2,0.1,0.24,0.01,0.0,1304.3
0.7,0.02,0.01,4.7,0.07,3.1,0.0,0.01,10.2,0.11,0.22,0.01,0.0,1420.0
0.15,0.03,0.01,8.9,0.07,3.25,0.0,0.01,8.45,0.04,0.23,0.01,0.0,1150.6
0.25,0.01,0.01,8.9,0.08,3.25,0.0,0.01,8.35,0.12,0.2,0.01,0.0,1169.2
0.9,0.01,0.01,9.0,0.08,3.25,0.0,0.01,8.5,0.12,0.23,0.01,0.0,1462.7
0.08,0.01,0.01,7.95,0.04,3.08,0.0,0.01,10.2,0.1,0.05,0.01,0.0,1061.7
0.06,0.01,0.01,7.8,0.06,3.2,0.0,0.01,10.2,0.05,0.1,0.01,0.0,1036.9
0.21,0.0,0.01,7.5,0.07,3.3,0.0,0.01,10.5,0.08,0.23,0.01,0.0,1263.6
0.52,0.01,0.01,7.6,0.05,3.05,0.0,0.01,10.3,0.09,0.2,0.01,0.0,1383.5
0.67,0.01,0.01,7.7,0.05,3.07,0.0,0.01,10.4,0.1,0.2,0.01,0.0,1475.8
0.91,0.02,0.01,7.4,0.06,3.25,0.0,0.01,10.3,0.08,0.23,0.01,0.0,1555.8
0.08,0.01,0.01,7.7,0.07,3.02,0.0,0.01,12.0,0.1,0.06,0.01,0.0,1010.8
0.25,0.03,0.01,7.5,0.05,3.05,0.0,0.01,12.1,0.11,0.2,0.01,0.0,1218.8
0.46,0.01,0.01,7.65,0.05,3.05,0.0,0.01,12.2,0.09,0.2,0.01,0.0,1414.5
0.63,0.01,0.01,7.7,0.05,3.05,0.0,0.01,12.2,0.1,0.2,0.01,0.0,1506.8
0.27,0.01,0.01,9.4,0.08,3.2,0.0,0.01,10.7,0.05,0.22,0.01,0.0,1267.8
0.36,0.01,0.01,10.5,0.01,3.1,0.0,0.01,10.3,0.01,0.11,0.01,0.0,1091.4
0.25,0.0,0.01,10.4,0.07,2.2,0.0,0.01,10.4,0.1,0.24,0.01,0.0,1236.1
0.25,0.0,0.01,10.4,0.07,2.2,0.0,0.01,10.4,0.1,0.24,0.01,0.0,1213.3
0.09,0.0,0.01,10.3,0.05,2.06,0.0,0.01,10.3,0.03,0.09,0.01,0.0,1032.1
0.36,0.01,0.01,10.6,0.05,2.06,0.0,0.01,10.6,0.02,0.08,0.01,0.0,1194.0
0.31,0.01,0.01,10.3,0.12,2.05,0.0,0.01,10.2,0.06,0.21,0.01,0.0,1258.8
0.35,0.0,0.01,10.3,0.05,2.06,0.0,0.01,10.2,0.02,0.17,0.01,0.0,1243.0
0.35,0.0,0.01,10.4,0.05,2.05,0.0,0.01,10.0,0.02,0.31,0.01,0.0,1282.2
0.26,0.0,0.01,10.4,0.12,1.97,0.0,0.01,9.2,0.08,0.21,0.01,0.0,1207.8
0.13,0.0,0.01,11.2,0.05,2.05,0.0,0.01,9.9,0.02,0.3,0.01,0.0,1172.0
0.23,0.0,0.01,9.9,0.12,2.1,0.0,0.01,10.5,0.07,0.22,0.01,0.0,1174.7
0.23,0.0,0.01,9.9,0.12,2.1,0.0,0.01,10.5,0.07,0.22,0.01,0.0,1126.5
0.27,0.01,0.01,10.2,0.11,2.05,0.0,0.01,10.3,0.18,0.22,0.01,0.0,1197.5
0.27,0.01,0.01,10.2,0.11,2.05,0.0,0.01,10.3,0.18,0.22,0.01,0.0,1153.4
0.2,0.0,0.01,10.2,0.11,2.05,0.0,0.01,10.4,0.3,0.22,0.01,0.0,1198.2
0.2,0.0,0.01,10.2,0.11,2.05,0.0,0.01,10.4,0.3,0.22,0.01,0.0,1149.3
0.25,0.0,0.01,10.2,0.1,2.0,0.0,0.01,10.4,0.41,0.23,0.01,0.0,1243.0
0.25,0.0,0.01,10.2,0.1,2.0,0.0,0.01,10.4,0.41,0.23,0.01,0.0,1200.2
0.31,0.01,0.01,10.3,0.12,2.05,0.0,0.01,10.2,0.06,0.21,0.01,0.0,1258.8
0.24,0.02,0.01,10.2,0.24,1.94,0.0,0.01,10.3,0.1,0.23,0.01,0.0,1195.4
0.24,0.02,0.01,10.2,0.24,1.94,0.0,0.01,10.3,0.1,0.23,0.01,0.0,1138.9
0.3,0.0,0.01,10.2,0.36,2.02,0.0,0.01,10.3,0.08,0.23,0.01,0.0,1189.9
0.3,0.0,0.01,10.2,0.36,2.02,0.0,0.01,10.3,0.08,0.23,0.01,0.0,1167.9
0.3,0.0,0.01,10.1,0.44,2.0,0.0,0.01,10.3,0.08,0.22,0.01,0.0,1188.5
0.3,0.0,0.01,10.1,0.44,2.0,0.0,0.01,10.3,0.08,0.22,0.01,0.0,1137.5
0.29,0.02,0.01,10.0,0.48,1.92,0.0,0.01,10.0,0.1,0.21,0.01,0.0,1222.3
0.29,0.02,0.01,10.0,0.48,1.92,0.0,0.01,10.0,0.1,0.21,0.01,0.0,1154.8
0.3,0.02,0.01,10.2,0.74,1.98,0.0,0.01,10.2,0.1,0.22,0.01,0.0,1149.9
0.3,0.02,0.01,10.2,0.74,1.98,0.0,0.01,10.2,0.1,0.22,0.01,0.0,1141.7
0.2,0.01,0.01,9.8,0.12,1.7,0.0,0.01,10.0,0.08,0.19,0.01,0.0,1150.6
0.2,0.01,0.01,9.8,0.12,1.7,0.0,0.01,10.0,0.08,0.19,0.01,0.0,1073.5
0.2,0.01,0.01,9.8,0.12,1.7,0.0,0.01,10.0,0.08,0.19,0.01,0.0,1083.8
0.2,0.01,0.01,9.8,0.12,1.7,0.0,0.01,10.0,0.08,0.19,0.01,0.0,1078.3
0.2,0.01,0.01,9.8,0.12,1.7,0.0,0.01,10.0,0.08,0.19,0.01,0.0,1105.8
0.2,0.01,0.01,9.8,0.12,1.7,0.0,0.01,10.0,0.08,0.19,0.01,0.0,1035.6
0.2,0.01,0.01,9.8,0.12,1.7,0.0,0.01,10.0,0.08,0.19,0.01,0.0,1081.7
0.23,0.01,0.01,10.2,0.03,2.2,0.0,0.01,10.5,0.03,0.24,0.01,0.0,1340.8
0.24,0.01,0.01,11.3,0.07,2.05,0.0,0.01,10.3,0.11,0.23,0.01,0.0,1207.1
0.24,0.01,0.01,11.3,0.07,2.05,0.0,0.01,10.3,0.11,0.23,0.01,0.0,1107.9
0.09,0.02,0.01,10.4,0.06,2.15,0.0,0.01,9.9,0.13,0.13,0.01,0.0,1005.9
0.03,0.27,3.9,0.41,0.27,0.49,0.0,0.01,8.28,0.01,0.0,0.07,0.0,1274.7
0.03,0.27,3.9,0.41,0.27,0.49,0.0,0.01,8.28,0.01,0.0,0.07,0.0,1274.7
0.03,0.27,3.9,0.41,0.27,0.49,0.0,0.01,8.28,0.01,0.0,0.07,0.0,1267.8
0.03,0.27,3.9,0.41,0.27,0.49,0.0,0.01,8.28,0.01,0.0,0.07,0.0,1267.8
0.03,0.27,3.9,0.41,0.27,0.49,0.0,0.01,8.28,0.01,0.0,0.07,0.0,1267.8
0.03,0.27,3.9,0.41,0.27,0.49,0.0,0.01,8.28,0.01,0.0,0.07,0.0,1274.7
0.03,0.27,3.9,0.41,0.27,0.49,0.0,0.01,8.28,0.01,0.0,0.07,0.0,1012.8
0.03,0.27,3.9,0.41,0.27,0.49,0.0,0.01,8.28,0.01,0.0,0.07,0.0,1012.8
0.03,0.27,3.9,0.41,0.27,0.49,0.0,0.01,8.28,0.01,0.0,0.07,0.0,1012.8
0.03,0.27,3.9,0.41,0.27,0.49,0.0,0.01,8.28,0.01,0.0,0.07,0.0,1123.1
0.03,0.27,3.9,0.41,0.27,0.49,0.0,0.01,8.28,0.01,0.0,0.07,0.0,1116.2
0.03,0.27,3.9,0.41,0.27,0.49,0.0,0.01,8.28,0.01,0.0,0.07,0.0,1102.4
0.03,0.27,3.9,0.41,0.27,0.49,0.0,0.01,8.28,0.01,0.0,0.07,0.0,1019.7
0.03,0.27,3.9,0.41,0.27,0.49,0.0,0.01,8.28,0.01,0.0,0.07,0.0,1116.2
0.03,0.27,3.9,0.41,0.27,0.49,0.0,0.01,8.28,0.01,0.0,0.07,0.0,1116.2
0.03,0.27,3.9,0.41,0.27,0.49,0.0,0.01,8.28,0.01,0.0,0.07,0.0,1005.9
0.03,0.27,3.9,0.41,0.27,0.49,0.0,0.01,8.28,0.01,0.0,0.07,0.0,1109.3
1.19,0.0,8.51,10.97,0.01,4.98,0.0,0.01,7.99,0.01,0.02,0.01,0.0,1853.4
1.19,0.0,8.51,10.97,0.01,4.98,0.0,0.01,7.99,0.01,0.02,0.01,0.0,1839.6
1.19,0.0,8.51,10.97,0.01,4.98,0.0,0.01,7.99,0.01,0.02,0.01,0.0,1846.5
1.19,0.0,8.51,10.97,0.01,4.98,0.0,0.01,7.99,0.01,0.02,0.01,0.0,1812.1
1.21,0.01,8.55,10.96,0.01,5.0,0.0,0.01,7.97,0.01,0.01,0.01,0.0,1812.1
1.21,0.01,8.55,10.96,0.01,5.0,0.0,0.01,7.97,0.01,0.01,0.01,0.0,1839.6
1.22,0.01,8.62,11.14,0.01,4.99,0.0,0.01,8.01,0.01,0.01,0.01,0.0,1853.4
1.22,0.01,8.62,11.14,0.01,4.99,0.0,0.01,8.01,0.01,0.01,0.01,0.0,1887.9
